"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.003309330204501748,0.8618623614311218,0.01504397392272949,0.003309330156597734,0.8618623597592038,0.01504397434893839,100.0,1.0,22.0,0.862,30266629435815.0,1429435815.0,1.0
0.003655974753201008,0.8727945685386658,0.04574162513017654,0.003655974670814998,0.8727945563088566,0.04574162575633291,87.0,3.0,24.0,0.874,30266629435819.0,1429435819.0,3.0
0.005529009271413088,1.267147541046143,0.1108621060848236,0.005529009492161954,1.267147593526061,0.1108621047750212,100.0,5.0,25.0,1.272,30266629435824.0,1429435824.0,5.0
0.006024293135851622,1.278385281562805,0.1569677144289017,0.006024293152623828,1.278385248881422,0.15696771430583,49.0,7.0,27.0,1.288,30266629435829.0,1429435829.0,7.0
0.006197529844939709,1.268176674842835,0.200861856341362,0.006197529762898094,1.26817668587204,0.2008618531116564,100.0,9.0,28.0,1.284,30266629435833.0,1429435833.0,9.0
0.002541255205869675,0.5020756721496582,-0.04392649605870247,0.002541255160914411,0.5020756966004047,-0.04392649434481972,10.0,10.0,29.0,0.504,30266629435836.0,1429435836.0,-5.0
0.006568619050085545,1.254502296447754,0.243853896856308,0.006568618939584969,1.254502343802656,0.2438538960912243,100.0,11.0,30.0,1.278,30266629435838.0,1429435838.0,11.0
0.004052309319376946,0.7489612102508545,-0.03925196826457977,0.004052309541865747,0.7489611884868961,-0.03925196718220787,7.0,12.0,31.0,0.75,30266629435840.0,1429435840.0,-3.0
0.007107096258550882,1.272507429122925,0.2937860786914825,0.007107096263294076,1.27250745780112,0.2937860769730877,155.0,13.0,32.0,1.306,30266629435843.0,1429435843.0,13.0
0.004848806653171778,0.8418577909469604,-0.01469492632895708,0.004848806438093101,0.8418577957229528,-0.01469492622019272,65.0,14.0,33.0,0.842,30266629435845.0,1429435845.0,-1.0
0.007176660466939211,1.246023654937744,0.3338765799999237,0.007176660381167597,1.246023648557529,0.3338765681822518,100.0,15.0,33.0,1.29,30266629435847.0,1429435847.0,15.0
0.006376404780894518,0.8698441386222839,0.01518359314650297,0.006376404666980621,0.8698441239376742,0.01518359360043666,100.0,1.0,42.0,0.87,30266629435870.0,1429435870.0,1.0
0.006748586893081665,0.8787680864334106,0.04605564102530479,0.006748587044027277,0.8787680777426456,0.04605564149379057,100.0,3.0,44.0,0.88,30266629435875.0,1429435875.0,3.0
0.009920850396156311,1.26313591003418,0.1105134785175324,0.00992085029048445,1.263135917892079,0.1105134818040306,100.0,5.0,45.0,1.268,30266629435879.0,1429435879.0,5.0
0.01034010108560324,1.260491251945496,0.1547740697860718,0.0103401011145554,1.260491202176445,0.1547740661245373,50.0,7.0,47.0,1.27,30266629435884.0,1429435884.0,7.0
0.01091316156089306,1.276046633720398,0.2021133303642273,0.0109131618055295,1.276046670466196,0.2021133288319783,100.0,9.0,49.0,1.292,30266629435889.0,1429435889.0,9.0
0.004293811041861773,0.5020637512207031,-0.04392649605870247,0.004293810919605972,0.5020637671475221,-0.04392649434481972,10.0,10.0,49.0,0.504,30266629435891.0,1429435891.0,-5.0
0.01094760932028294,1.254471778869629,0.243853896856308,0.01094760930310678,1.254471772186077,0.2438538960912243,100.0,11.0,50.0,1.278,30266629435893.0,1429435893.0,11.0
0.006702202837914228,0.752936840057373,-0.03946131095290184,0.00670220273854257,0.7529368402542448,-0.03946131100717965,7.0,12.0,51.0,0.754,30266629435895.0,1429435895.0,-3.0
0.01147818937897682,1.26468026638031,0.2919864654541016,0.01147818907649947,1.264680257363906,0.2919864685383368,156.0,13.0,52.0,1.298,30266629435898.0,1429435898.0,13.0
0.007861399091780186,0.8498342037200928,-0.01483454555273056,0.00786139863780055,0.8498341806918017,-0.01483454547169098,67.0,14.0,53.0,0.85,30266629435900.0,1429435900.0,-1.0
0.01167068909853697,1.238261938095093,0.3318060040473938,0.01167068913582525,1.238261912068607,0.3318060158214316,100.0,15.0,54.0,1.282,30266629435902.0,1429435902.0,15.0
0.009261219762265682,0.8558195233345032,0.01493925973773003,0.00926121989234722,0.8558195185431551,0.01493925991031469,100.0,1.0,62.0,0.856,30266629435925.0,1429435925.0,1.0
0.009704473428428173,0.8687534928321838,0.04553228244185448,0.009704473293511023,0.8687534946693559,0.04553228193136113,100.0,3.0,64.0,0.87,30266629435930.0,1429435930.0,3.0
0.01444296911358833,1.273054957389832,0.1113850399851799,0.01444296930808537,1.273054898137925,0.1113850392315071,100.0,5.0,65.0,1.278,30266629435935.0,1429435935.0,5.0
0.01457748562097549,1.246552705764771,0.1530679017305374,0.01457748562082776,1.246552733074794,0.1530678953168652,47.0,7.0,67.0,1.256,30266629435939.0,1429435939.0,7.0
0.01514462474733591,1.276003479957581,0.2021133303642273,0.0151446250494565,1.276003464979844,0.2021133288319783,100.0,9.0,68.0,1.292,30266629435944.0,1429435944.0,9.0
0.01532646641135216,1.254425883293152,0.243853896856308,0.01532646627346408,1.254425915226842,0.2438538960912243,100.0,11.0,70.0,1.278,30266629435948.0,1429435948.0,11.0
0.009181907400488853,0.740926206111908,-0.03883327916264534,0.00918190749264008,0.7409262237062241,-0.03883327953226432,7.0,12.0,71.0,0.742,30266629435951.0,1429435951.0,-3.0
0.01579472608864307,1.256838083267212,0.2901868522167206,0.01579472529285461,1.25683814108108,0.2901868601035859,154.0,13.0,72.0,1.29,30266629435953.0,1429435953.0,13.0
